what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1697695658692
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1697695658692
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1697695658693
os,sysinfo,,,"win32",1697695658694
arch,sysinfo,,,"x86",1697695658694
ws,sysinfo,,,"win32",1697695658694
locale,sysinfo,,,"en_US",1697695658694
processors,sysinfo,,,"4",1697695658694
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1697695658694
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1697695658694
java.specification.name,sysinfo,,,"Java Platform API Specification",1697695658694
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1697695658694
java.specification.version,sysinfo,,,"1.6",1697695658694
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1697695658694
java.version,sysinfo,,,"1.6.0_23",1697695658694
java.vm.info,sysinfo,,,"mixed mode",1697695658694
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1697695658694
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1697695658694
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1697695658694
java.vm.specification.version,sysinfo,,,"1.0",1697695658694
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1697695658694
java.vm.version,sysinfo,,,"19.0-b09",1697695658694
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1697695658723
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1697695660416
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1697695682912
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1697695688305
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1697695695003
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1697695695049
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1697695695050
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1697695695057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697695698630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697695700182
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1697695700188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1697695700188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697695704517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697695706391
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1697695706397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1697695706397
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1697695711315
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1697695711464
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1697695711469
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1697695711470
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1697695711471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697695711744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697695766557
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1697695769580
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1697695769596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1697695771795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1697695772638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1697695775327
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1697695778426
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1697695853188
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1697695853190
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1697695895824
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1697695896531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697695896750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1697695911248
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1697695911264
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1697695914238
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1697695914526
